date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:47	144/144	---M--	200	added ('OK')	text/plain	date:Fri,%2015%20Jun%202018%2011:53:23%20GMT	https://wirefox.co.uk/robots.txt		(from )
00:20:49	33242/33242	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Aug%202018%2018:50:46%20GMT	https://wirefox.co.uk/	C:/My%20Web%20Sites/hack/wirefox.co.uk/index.html	(from )
00:20:49	3022/3022	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Mar%202018%2003:02:39%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/favicon.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/favicon.png	(from https://wirefox.co.uk/)
00:20:50	3022/3022	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Mar%202018%2003:02:39%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/apple-touch-icon.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/apple-touch-icon.png	(from https://wirefox.co.uk/)
00:20:52	818/818	---MC-	200	added ('OK')	text/xml	date:Fri,%2024%20Aug%202018%2018:50:50%20GMT	https://wirefox.co.uk/xmlrpc.php?rsd	C:/My%20Web%20Sites/hack/wirefox.co.uk/xmlrpc0db0.php	(from https://wirefox.co.uk/)
00:20:53	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:12%20GMT	https://wirefox.co.uk/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-includes/wlwmanifest.xml	(from https://wirefox.co.uk/)
00:20:54	63267/63267	---MC-	200	added ('OK')	application/json	date:Fri,%2024%20Aug%202018%2018:50:52%20GMT	https://wirefox.co.uk/wp-json/	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-json/index.html	(from https://wirefox.co.uk/)
00:20:54	2242/2242	---MC-	200	added ('OK')	application/json	date:Fri,%2024%20Aug%202018%2018:50:53%20GMT	https://wirefox.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwirefox.co.uk%2F	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-json/oembed/1.0/embed67f9.json	(from https://wirefox.co.uk/)
00:20:55	2341/2341	---MC-	200	added ('OK')	text/xml	date:Fri,%2024%20Aug%202018%2018:50:54%20GMT	https://wirefox.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwirefox.co.uk%2F&format=xml	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-json/oembed/1.0/embed1583	(from https://wirefox.co.uk/)
00:20:56	351793/351793	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Jun%202018%2010:24:34%20GMT	https://wirefox.co.uk/wp-content/cache/autoptimize/css/autoptimize_c33fa96c9701c3e59d45297f06ebad78.css	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/cache/autoptimize/css/autoptimize_c33fa96c9701c3e59d45297f06ebad78.css	(from https://wirefox.co.uk/)
